"decision","photo_name","fish_ID","start_time"
"exclude_50_60","r00718_crop_l.b0050.43_start_60_resid_930.PNG","l.b0050.43",60
"exclude_50_60","r00722_crop_l.b0043.27_start_180_resid_928.PNG","l.b0043.27",180
"exclude_50_60","r00723_crop_l.b0045.50_start_180_resid_928.PNG","l.b0045.50",180
"exclude_50_60","r00735_crop_w.b0026.29_start_210_resid_922.PNG","w.b0026.29",210
"exclude_50_60","r00749_crop_l.b0013.35_start_240_resid_917.PNG","l.b0013.35",240
"exclude_50_60","r00764_crop_l.b0047.31_start_240_resid_909.PNG","l.b0047.31",240
"exclude_50_60","r00773_crop_w.b0021.7_start_270_resid_900.PNG","w.b0021.7",270
"exclude_50_60","r00781_crop_l.b0038.12_start_120_resid_895.PNG","l.b0038.12",120
"exclude_50_60","r00794_crop_l.b0029.21_start_60_resid_889.PNG","l.b0029.21",60
"exclude_50_60","r00795_crop_l.b0040.27_start_180_resid_889.PNG","l.b0040.27",180
"exclude_50_60","r00801_crop_w.b0042.24_start_210_resid_887.PNG","w.b0042.24",210
"exclude_50_60","r00804_crop_w.b0014.12_start_90_resid_886.PNG","w.b0014.12",90
"exclude_50_60","r00814_crop_l.b0045.10_start_120_resid_880.PNG","l.b0045.10",120
"exclude_50_60","r00816_crop_l.b0023.10_start_0_resid_879.PNG","l.b0023.10",0
"exclude_50_60","r00841_crop_l.b0030.30_start_150_resid_867.PNG","l.b0030.30",150
"exclude_50_60","r00854_crop_w.b0033.10_start_30_resid_863.PNG","w.b0033.10",30
"exclude_50_60","r00855_crop_l.b0042.46_start_210_resid_862.PNG","l.b0042.46",210
"exclude_50_60","r00882_crop_l.b0037.50_start_150_resid_848.PNG","l.b0037.50",150
"exclude_50_60","r00895_crop_l.b0015.10_start_30_resid_841.PNG","l.b0015.10",30
"exclude_50_60","r00896_crop_l.b0047.9_start_240_resid_839.PNG","l.b0047.9",240
"exclude_50_60","r00898_crop_w.b0048.4_start_210_resid_839.PNG","w.b0048.4",210
"exclude_50_60","r00900_crop_l.b0027.39_start_30_resid_837.PNG","l.b0027.39",30
"exclude_50_60","r00905_crop_l.b0031.29_start_120_resid_836.PNG","l.b0031.29",120
"exclude_50_60","r00908_crop_w.b0054.26_start_90_resid_835.PNG","w.b0054.26",90
